MutationType	TCGA-CS-4938	TCGA-CS-4942	TCGA-CS-4943	TCGA-CS-4944	TCGA-CS-5393	TCGA-CS-6290	TCGA-CS-6665	TCGA-CS-6666	TCGA-CS-6667	TCGA-DB-5270	TCGA-DB-5273	TCGA-DB-5275	TCGA-DB-5276	TCGA-DB-5277	TCGA-DB-5280	TCGA-DB-5281	TCGA-DB-A4X9	TCGA-DB-A4XB	TCGA-DB-A4XC	TCGA-DB-A4XD	TCGA-DB-A4XE	TCGA-DB-A4XF	TCGA-DB-A64S	TCGA-DB-A64X	TCGA-DB-A75L	TCGA-DB-A75M	TCGA-DB-A75O	TCGA-DH-5142	TCGA-DH-5143	TCGA-DH-A66B	TCGA-DH-A66D	TCGA-DH-A66G	TCGA-DH-A7UT	TCGA-DH-A7UU	TCGA-DH-A7UV	TCGA-DU-5851	TCGA-DU-5853	TCGA-DU-5855	TCGA-DU-5871	TCGA-DU-5872	TCGA-DU-6395	TCGA-DU-6396	TCGA-DU-6399	TCGA-DU-6401	TCGA-DU-6407	TCGA-DU-6408	TCGA-DU-6542	TCGA-DU-7007	TCGA-DU-7008	TCGA-DU-7010	TCGA-DU-7011	TCGA-DU-7015	TCGA-DU-7298	TCGA-DU-7299	TCGA-DU-7301	TCGA-DU-7304	TCGA-DU-7306	TCGA-DU-7309	TCGA-DU-8163	TCGA-DU-8166	TCGA-DU-8167	TCGA-DU-A5TP	TCGA-DU-A5TR	TCGA-DU-A5TS	TCGA-DU-A5TU	TCGA-DU-A5TW	TCGA-DU-A6S7	TCGA-DU-A76O	TCGA-DU-A7T8	TCGA-DU-A7TA	TCGA-DU-A7TC	TCGA-E1-5302	TCGA-E1-5303	TCGA-E1-5304	TCGA-E1-5305	TCGA-E1-5307	TCGA-E1-5322	TCGA-E1-A7YE	TCGA-E1-A7YH	TCGA-E1-A7YI	TCGA-E1-A7YK	TCGA-E1-A7YU	TCGA-E1-A7YV	TCGA-E1-A7YW	TCGA-E1-A7Z3	TCGA-E1-A7Z4	TCGA-E1-A7Z6	TCGA-F6-A8O4	TCGA-FG-5965	TCGA-FG-6689	TCGA-FG-6690	TCGA-FG-6691	TCGA-FG-7636	TCGA-FG-8182	TCGA-FG-8185	TCGA-FG-8188	TCGA-FG-8191	TCGA-FG-A4MT	TCGA-FG-A4MX	TCGA-FG-A4MY	TCGA-FG-A60J	TCGA-FG-A60L	TCGA-FG-A6J3	TCGA-FG-A70Y	TCGA-FG-A711	TCGA-FG-A87N	TCGA-FN-7833	TCGA-HT-7470	TCGA-HT-7472	TCGA-HT-7473	TCGA-HT-7474	TCGA-HT-7475	TCGA-HT-7476	TCGA-HT-7477	TCGA-HT-7478	TCGA-HT-7479	TCGA-HT-7482	TCGA-HT-7483	TCGA-HT-7485	TCGA-HT-7601	TCGA-HT-7603	TCGA-HT-7604	TCGA-HT-7606	TCGA-HT-7609	TCGA-HT-7610	TCGA-HT-7611	TCGA-HT-7676	TCGA-HT-7684	TCGA-HT-7686	TCGA-HT-7688	TCGA-HT-7689	TCGA-HT-7690	TCGA-HT-7693	TCGA-HT-7855	TCGA-HT-7858	TCGA-HT-7873	TCGA-HT-7879	TCGA-HT-7880	TCGA-HT-7884	TCGA-HT-7902	TCGA-HT-8013	TCGA-HT-8018	TCGA-HT-8106	TCGA-HT-8108	TCGA-HT-8111	TCGA-HT-8114	TCGA-HT-8563	TCGA-HT-A5R5	TCGA-HT-A5R7	TCGA-HT-A5RB	TCGA-HT-A614	TCGA-HT-A616	TCGA-HT-A618	TCGA-HT-A61B	TCGA-HT-A74J	TCGA-HT-A74O	TCGA-HW-7489	TCGA-HW-7490	TCGA-HW-8319	TCGA-HW-8320	TCGA-HW-8321	TCGA-HW-A5KL	TCGA-HW-A5KM	TCGA-IK-7675	TCGA-P5-A5EU	TCGA-P5-A5EV	TCGA-P5-A5EW	TCGA-P5-A5EZ	TCGA-P5-A5F1	TCGA-P5-A5F2	TCGA-P5-A5F4	TCGA-P5-A72U	TCGA-P5-A72W	TCGA-P5-A72X	TCGA-P5-A731	TCGA-P5-A733	TCGA-P5-A735	TCGA-P5-A736	TCGA-P5-A780	TCGA-QH-A65S	TCGA-QH-A6CW	TCGA-QH-A6X3	TCGA-QH-A6X9	TCGA-QH-A6XA	TCGA-QH-A870	TCGA-RY-A83Z	TCGA-RY-A843	TCGA-RY-A845	TCGA-S9-A6TS	TCGA-S9-A6TU	TCGA-S9-A6TV	TCGA-S9-A6TZ	TCGA-S9-A6U1	TCGA-S9-A6U6	TCGA-S9-A6U9	TCGA-S9-A6WG	TCGA-S9-A6WO	TCGA-S9-A7IS	TCGA-S9-A7IZ	TCGA-S9-A7J0	TCGA-S9-A7QW	TCGA-S9-A7QX	TCGA-S9-A7R3	TCGA-S9-A7R4	TCGA-S9-A7R7	TCGA-S9-A7R8	TCGA-S9-A89Z	TCGA-TM-A7C4	TCGA-TM-A7CA	TCGA-TM-A7CF	TCGA-TM-A84F	TCGA-TM-A84H	TCGA-TM-A84L	TCGA-TM-A84T	TCGA-TQ-A7RF	TCGA-TQ-A7RH	TCGA-TQ-A7RJ	TCGA-TQ-A7RK	TCGA-TQ-A7RM	TCGA-TQ-A7RR	TCGA-TQ-A7RV	TCGA-TQ-A7RW	TCGA-TQ-A8XE	TCGA-VM-A8C8	TCGA-VM-A8CF	TCGA-VM-A8CH	TCGA-VV-A86M	TCGA-WH-A86K	TCGA-WY-A858	TCGA-WY-A859	TCGA-WY-A85A	TCGA-WY-A85B	TCGA-WY-A85C	TCGA-WY-A85D
0:homdel:0-100kb	3	2	1	4	7	3	1	0	8	11	6	3	8	3	4	8	4	2	8	3	7	1	3	2	3	2	12	2	18	3	3	1	5	5	6	7	4	5	2	0	3	0	15	8	2	4	1	2	2	3	14	8	3	6	3	4	5	9	2	3	15	17	18	5	36	14	2	2	7	4	7	2	3	3	4	5	3	0	5	5	7	6	0	15	0	4	6	3	5	8	5	2	3	22	2	8	6	11	6	15	5	7	3	4	11	5	3	6	4	4	5	3	8	3	4	6	3	2	5	1	3	0	2	4	7	5	2	3	3	5	2	4	5	3	6	5	12	1	6	9	5	7	8	4	4	6	8	4	7	4	4	4	2	3	1	3	8	5	4	3	5	3	3	10	13	7	5	12	1	5	20	8	5	4	2	3	4	3	1	6	2	4	3	2	12	12	26	0	4	2	3	2	6	2	4	13	2	3	0	4	3	4	3	3	8	1	5	5	10	5	27	11	9	5	3	0	1	6	2	3	7	10	10	37	3	6	6	2	11	3	6	1	4	4
0:homdel:100kb-1Mb	1	0	0	0	1	1	0	2	2	0	2	0	1	1	0	4	0	1	0	0	0	0	0	0	0	0	3	1	1	0	0	0	1	2	1	1	0	1	0	0	0	0	1	2	0	1	2	1	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	1	0	2	0	3	2	0	0	0	0	2	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	2	1	1	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	2	2	0	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	0	1	1	2	1	0	2	1	1	2	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	3	0	1	2	0	1	0	1	0	0	0	0	0	0	1	1
0:homdel:>1Mb	1	1	1	0	2	0	1	11	5	1	0	0	1	3	0	3	1	0	2	0	1	1	0	1	1	0	5	0	1	0	1	1	1	2	0	1	0	1	1	1	2	1	2	5	1	1	0	1	1	1	2	1	1	0	1	0	0	1	2	1	5	2	1	1	2	2	1	0	4	0	0	0	0	0	1	9	1	1	1	3	1	1	1	1	1	0	1	0	1	2	1	1	0	2	2	1	0	1	0	1	1	1	1	1	1	2	0	2	0	0	0	0	2	3	1	1	1	0	0	1	1	2	1	0	1	3	0	1	1	2	1	0	1	1	3	0	1	0	2	2	1	1	1	1	3	1	1	1	1	0	1	1	1	0	0	2	0	0	1	0	1	1	0	1	1	2	1	4	1	1	4	1	0	0	1	1	1	1	1	1	0	0	1	1	2	1	1	1	1	0	0	1	1	0	0	1	0	2	1	1	1	1	1	1	2	1	0	1	3	1	1	1	0	1	1	0	1	1	1	1	2	2	1	4	1	1	2	1	1	1	0	0	0	0
1:LOH:0-100kb	9	16	3	16	17	10	10	1	15	6	11	4	5	3	6	6	9	6	3	10	3	1	10	5	1	4	13	2	1	3	4	2	4	6	11	1	1	7	2	0	14	1	6	3	3	2	1	5	3	2	9	11	8	6	11	9	16	12	11	2	5	3	6	7	11	2	3	18	9	3	3	3	3	9	4	6	16	10	5	6	7	4	4	8	11	2	6	21	5	6	2	5	3	1	20	9	1	2	6	2	12	4	3	6	11	25	19	12	2	4	9	16	21	11	13	12	4	11	17	6	8	23	3	13	5	10	9	16	19	4	2	12	7	3	2	14	10	9	6	2	4	1	0	7	2	9	8	8	3	1	11	8	5	1	10	10	3	3	3	0	11	5	7	11	10	10	9	8	0	4	3	6	2	13	6	3	2	9	3	13	7	5	2	6	17	20	18	22	3	5	1	11	21	7	5	6	11	3	3	5	6	9	12	9	6	3	12	6	11	1	24	19	28	27	9	1	4	19	5	4	10	10	19	7	10	43	11	12	15	11	14	58	22	12
1:LOH:100kb-1Mb	1	2	0	1	7	0	0	4	15	3	3	2	4	6	2	19	4	0	4	2	1	3	0	2	1	3	10	0	6	0	0	1	3	5	5	3	1	5	0	3	6	1	4	1	1	1	1	0	2	3	1	2	2	3	3	5	1	6	2	0	4	6	9	16	5	1	0	3	13	1	1	2	0	28	0	4	2	56	3	7	1	2	1	4	6	0	1	2	3	0	4	4	0	5	6	5	0	3	2	3	10	3	5	5	0	4	1	5	0	0	1	2	10	8	1	7	1	2	5	3	5	9	1	1	6	6	1	0	9	0	0	2	4	2	7	3	5	0	2	3	2	1	6	3	3	4	2	0	6	1	22	3	1	2	5	1	0	0	0	0	5	1	6	6	8	11	1	19	2	0	4	1	0	3	0	1	0	1	0	5	3	1	0	0	1	44	5	1	0	3	1	1	4	3	2	7	0	0	1	1	1	3	111	2	6	5	0	8	3	0	6	2	1	2	1	0	6	12	1	1	1	9	1	7	0	1	5	2	0	2	1	2	4	5
1:LOH:1Mb-10Mb	0	3	1	0	15	2	1	9	4	4	2	3	2	8	0	37	1	0	5	0	0	0	0	5	2	1	8	0	3	0	0	0	5	3	4	6	0	5	0	0	2	4	7	7	0	0	0	1	0	0	1	7	4	4	0	4	3	2	3	0	4	6	6	5	2	6	0	2	2	2	0	0	0	12	0	12	3	16	0	9	0	8	0	5	0	0	5	1	1	1	6	1	0	11	4	1	2	3	0	3	7	3	0	7	3	1	1	10	1	0	0	2	5	3	3	0	0	3	3	3	6	2	0	1	5	7	0	1	3	1	0	7	3	3	4	5	4	2	2	9	0	0	3	5	9	2	2	0	0	1	34	1	0	2	1	3	0	1	0	0	4	1	2	11	7	4	0	7	0	0	6	0	0	1	1	0	0	1	2	8	2	0	0	0	4	13	0	1	0	0	0	1	5	3	1	7	0	3	0	2	3	0	37	2	7	0	1	4	1	0	4	3	0	1	1	0	5	6	8	0	7	8	6	11	0	0	5	1	0	0	1	1	3	1
1:LOH:10Mb-40Mb	2	0	0	3	1	0	0	6	0	0	0	3	0	2	2	10	0	3	1	1	1	0	0	3	1	0	4	0	2	0	0	0	2	4	1	3	0	2	0	0	3	1	4	6	0	1	0	1	0	1	2	3	9	0	2	1	1	2	0	0	6	2	1	3	0	1	0	2	3	3	0	0	0	2	0	14	2	7	0	9	0	2	0	1	0	0	1	2	0	0	1	1	1	2	1	4	1	1	0	6	1	2	1	1	4	3	0	1	0	0	0	4	1	1	2	0	0	2	1	1	1	1	0	0	1	3	0	0	0	0	0	6	3	3	2	2	3	0	1	3	0	2	5	2	4	1	9	0	2	3	2	1	0	1	0	3	0	0	1	0	2	0	2	5	11	4	2	4	1	0	7	0	1	0	5	1	0	0	0	2	1	3	0	0	2	12	0	0	0	0	0	2	0	1	0	3	1	0	0	0	0	0	2	0	6	2	0	1	2	0	0	1	0	1	7	0	1	3	0	0	2	7	5	11	0	2	1	0	0	0	0	0	1	3
1:LOH:>40Mb	0	1	1	2	0	1	0	5	0	0	1	2	0	2	2	5	0	1	0	1	1	0	1	0	0	1	1	2	0	2	0	0	1	5	1	3	1	3	0	1	0	0	2	3	0	0	2	1	0	0	0	2	4	1	3	1	1	2	0	0	5	0	1	2	0	1	0	1	3	1	1	2	1	0	1	4	3	5	1	0	0	0	0	1	1	1	0	1	0	1	1	2	1	1	1	1	1	3	0	2	1	1	0	0	0	0	2	1	1	1	1	5	2	2	1	0	0	1	1	1	1	1	0	1	0	1	1	1	2	1	0	3	1	2	0	4	1	1	3	4	0	1	3	1	1	0	4	0	2	3	2	1	0	1	1	0	1	1	1	1	1	0	1	6	7	2	0	4	0	0	4	0	1	1	0	0	0	0	0	2	1	1	0	0	2	5	0	0	1	2	2	1	0	2	2	1	1	0	0	0	0	0	2	1	2	2	1	1	0	0	1	2	1	1	2	1	1	2	0	1	2	3	2	4	0	2	3	2	0	0	2	1	3	3
2:LOH:0-100kb	0	0	1	1	3	0	1	0	6	0	0	4	1	4	1	1	0	1	0	0	1	1	0	0	1	0	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	1	0	1	2	1	0	0	1	0	0	1	1	1	1	2	1	1	1	0	4	0	1	0	0	8	0	0	1	11	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	2	0	0	1	5	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0	0	1	2	0	2	1	0	0	0	4	0	0	1	0	0	1	0	0	0	1	3	2	1	1	1	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	1	3	0	0	1	0	0	0	1	0	0	1	0	0	1	1	2	1	2	0	1	1	1	0	1	2	0	1	0	0	0	1	0	0	2	1	0	1	0	2	2	2	0	3	1	0	0	1	1	0
2:LOH:100kb-1Mb	0	0	6	0	3	0	0	38	157	0	0	14	1	20	0	0	1	1	0	1	0	0	0	0	1	0	1	2	1	0	0	1	1	0	35	0	1	0	0	0	1	1	0	1	4	1	1	0	5	2	0	1	0	0	0	1	0	1	1	0	0	3	33	15	5	1	0	0	69	1	1	1	2	16	1	1	1	107	0	0	1	3	1	1	21	2	0	0	3	0	0	1	0	1	1	0	0	0	0	0	3	0	3	0	0	2	0	1	0	1	0	1	1	13	0	0	0	0	0	0	0	2	3	0	3	3	0	0	1	1	1	1	2	1	0	1	1	0	8	1	0	2	1	2	0	3	13	0	36	1	3	0	0	10	0	0	0	1	0	0	2	0	1	2	2	1	0	0	35	0	1	2	5	0	1	3	5	0	0	3	2	0	2	1	0	14	1	0	0	0	2	3	3	0	1	26	0	3	2	5	0	1	32	0	0	88	3	6	21	26	0	0	1	0	1	2	5	0	2	0	0	1	0	0	2	0	0	7	1	11	1	0	0	0
2:LOH:1Mb-10Mb	0	0	14	0	0	0	5	14	29	0	0	17	0	24	0	1	1	1	0	1	0	6	0	1	2	0	0	2	0	0	1	1	1	0	11	1	1	1	0	0	0	3	1	0	7	1	3	0	3	1	0	0	0	3	0	2	1	1	0	5	2	0	10	6	12	0	0	1	14	0	3	1	0	13	3	0	1	23	1	1	3	1	6	1	5	2	0	0	5	0	0	1	0	2	0	0	3	0	2	2	0	1	9	0	1	0	0	3	1	2	1	0	1	6	2	1	0	0	1	0	0	4	3	0	1	1	0	0	1	0	0	0	3	1	0	1	0	0	2	3	0	5	0	0	1	0	9	1	10	0	2	0	1	13	1	0	0	1	0	0	1	0	0	0	4	0	1	0	26	2	2	6	3	0	0	4	2	1	6	0	1	0	5	0	0	2	0	1	1	1	7	0	5	1	0	9	0	10	4	5	0	3	15	0	0	25	7	3	9	22	5	1	5	1	0	6	2	0	12	1	0	0	0	2	0	1	0	5	0	12	1	0	1	1
2:LOH:10Mb-40Mb	1	1	7	0	1	1	2	1	1	0	1	6	1	14	0	0	3	2	2	2	0	3	0	0	1	2	2	4	2	1	1	1	2	3	2	1	0	1	0	2	0	1	0	1	3	2	1	3	1	3	1	1	0	0	1	0	2	2	1	1	0	2	1	0	7	1	0	2	2	0	3	3	0	5	4	0	1	4	2	1	2	2	4	2	1	3	1	0	4	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	2	0	1	3	2	0	1	1	2	0	1	0	2	2	1	1	0	7	1	1	1	1	0	0	2	0	1	3	2	2	2	1	1	0	1	0	1	2	1	2	1	0	1	2	2	2	1	0	1	0	1	0	1	0	0	2	1	1	2	4	2	0	1	1	2	1	4	0	0	0	1	0	0	1	1	0	1	1	1	0	0	1	1	1	2	4	0	0	1	1	3	1	4	2	5	1	1	1	4	1	1	4	1	2	1	1	1	0	3	1	3	0	2	3	0	2	1	2	1	1	0	0	0	2	4	0	2	0	1
2:LOH:>40Mb	0	0	2	0	0	1	3	1	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	1	0	0	3	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	2	1	0	1	0	1	0	0	0	4	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	1	5	0	0	1	0
3-4:LOH:0-100kb	0	1	4	0	1	0	0	0	0	0	0	2	0	10	1	4	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	1	0	2	0	0	3	0	0	0	1	4	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	2	2	0	1	11	1	1	0	0	0	2	0	1	2	0	0	1	0	0	1	1	1	0	1	0	0	1	0	2	4	1	0	0	2	0	0	2	0	0	3	0	0	0	0	0	2	0	1	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	1	1	2	0	2	0	1	2	0	0	0	1	1	1	0	1	0	0	1	0	0	1	0	1	0	4	2	0	0	0	0	0	0	0	3	0	0	2	0	0	1	3	0	2	0	0	2	1	0	0	0	2	1	1	0	3	0	0	1	3	0	1
3-4:LOH:100kb-1Mb	1	0	3	1	1	1	0	4	1	0	1	2	1	5	0	3	0	0	0	0	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	4	0	2	0	2	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	20	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	2	7	1	0	0	3	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	2	2	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	4	2	1	0	2	0	0	0	0	0	0	1	0	1	1	5	0	0	6	0	1	1	0	0	1	0	1	0	0	4	0	1	1	1	1	0	0	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	2	0	0	1	0	0	1	1	0	1	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
3-4:LOH:1Mb-10Mb	0	0	1	0	0	0	0	5	1	1	0	1	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	1	0	0	0	13	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	9	2	0	2	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	2	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	3	0	0	1	1	0	0
3-4:LOH:10Mb-40Mb	0	0	1	0	0	0	1	1	0	0	0	2	0	3	0	0	0	1	0	0	1	1	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	3	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	2	1	3	1	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	3	0	1	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0
3-4:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
5-8:LOH:0-100kb	0	0	1	0	0	0	0	0	1	0	0	1	0	1	2	1	1	1	1	0	0	0	1	0	0	0	0	2	0	0	1	0	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	4	0	11	0	1	1	0	1	0	1	0	2	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	0	1	2	1	0	1	1	0	0	0	1	1	0	0	0	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	2	1	1	0	1	0	1	0	0	0	0	0	2	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	3	1	0	0	1	1	3	0	1	3	0	0	0	0	0	0	0	0	0	0	3	2	0	0	1
5-8:LOH:100kb-1Mb	1	0	3	2	0	0	0	1	1	1	0	0	0	2	1	0	2	1	1	0	1	0	1	1	0	2	3	0	1	0	0	0	1	1	1	2	1	1	0	0	1	0	5	0	0	0	2	1	2	0	0	1	0	1	1	0	1	0	0	0	1	2	2	1	4	1	0	1	1	2	0	0	1	4	0	1	0	1	1	1	0	2	1	0	0	0	1	0	1	0	0	1	1	2	0	1	1	0	1	2	1	2	0	1	1	0	0	1	0	1	0	1	1	4	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	2	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	1	1	0	0	0	1	0	1	0	0	2	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	1	0	1	2	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	1
5-8:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
