MutationType	TCGA-CS-4938	TCGA-CS-4942	TCGA-CS-4943	TCGA-CS-4944	TCGA-CS-5393	TCGA-CS-6290	TCGA-CS-6665	TCGA-CS-6666	TCGA-CS-6667	TCGA-DB-5270	TCGA-DB-5273	TCGA-DB-5275	TCGA-DB-5276	TCGA-DB-5277	TCGA-DB-5280	TCGA-DB-5281	TCGA-DB-A4X9	TCGA-DB-A4XB	TCGA-DB-A4XC	TCGA-DB-A4XD	TCGA-DB-A4XE	TCGA-DB-A4XF	TCGA-DB-A64S	TCGA-DB-A64X	TCGA-DB-A75L	TCGA-DB-A75M	TCGA-DB-A75O	TCGA-DH-5142	TCGA-DH-5143	TCGA-DH-A66B	TCGA-DH-A66D	TCGA-DH-A66G	TCGA-DH-A7UT	TCGA-DH-A7UU	TCGA-DH-A7UV	TCGA-DU-5851	TCGA-DU-5853	TCGA-DU-5855	TCGA-DU-5871	TCGA-DU-5872	TCGA-DU-6395	TCGA-DU-6396	TCGA-DU-6399	TCGA-DU-6401	TCGA-DU-6407	TCGA-DU-6408	TCGA-DU-6542	TCGA-DU-7007	TCGA-DU-7008	TCGA-DU-7010	TCGA-DU-7011	TCGA-DU-7015	TCGA-DU-7298	TCGA-DU-7299	TCGA-DU-7301	TCGA-DU-7304	TCGA-DU-7306	TCGA-DU-7309	TCGA-DU-8163	TCGA-DU-8166	TCGA-DU-8167	TCGA-DU-A5TP	TCGA-DU-A5TR	TCGA-DU-A5TS	TCGA-DU-A5TU	TCGA-DU-A5TW	TCGA-DU-A6S7	TCGA-DU-A76O	TCGA-DU-A7T8	TCGA-DU-A7TA	TCGA-DU-A7TC	TCGA-E1-5302	TCGA-E1-5303	TCGA-E1-5304	TCGA-E1-5305	TCGA-E1-5307	TCGA-E1-5322	TCGA-E1-A7YE	TCGA-E1-A7YH	TCGA-E1-A7YI	TCGA-E1-A7YK	TCGA-E1-A7YU	TCGA-E1-A7YV	TCGA-E1-A7YW	TCGA-E1-A7Z3	TCGA-E1-A7Z4	TCGA-E1-A7Z6	TCGA-F6-A8O4	TCGA-FG-5965	TCGA-FG-6689	TCGA-FG-6690	TCGA-FG-6691	TCGA-FG-7636	TCGA-FG-8182	TCGA-FG-8185	TCGA-FG-8188	TCGA-FG-8191	TCGA-FG-A4MT	TCGA-FG-A4MX	TCGA-FG-A4MY	TCGA-FG-A60J	TCGA-FG-A60L	TCGA-FG-A6J3	TCGA-FG-A70Y	TCGA-FG-A711	TCGA-FG-A87N	TCGA-FN-7833	TCGA-HT-7470	TCGA-HT-7472	TCGA-HT-7473	TCGA-HT-7474	TCGA-HT-7475	TCGA-HT-7476	TCGA-HT-7477	TCGA-HT-7478	TCGA-HT-7479	TCGA-HT-7482	TCGA-HT-7483	TCGA-HT-7485	TCGA-HT-7601	TCGA-HT-7603	TCGA-HT-7604	TCGA-HT-7606	TCGA-HT-7609	TCGA-HT-7610	TCGA-HT-7611	TCGA-HT-7676	TCGA-HT-7684	TCGA-HT-7686	TCGA-HT-7688	TCGA-HT-7689	TCGA-HT-7690	TCGA-HT-7693	TCGA-HT-7855	TCGA-HT-7858	TCGA-HT-7873	TCGA-HT-7879	TCGA-HT-7880	TCGA-HT-7884	TCGA-HT-7902	TCGA-HT-8013	TCGA-HT-8018	TCGA-HT-8106	TCGA-HT-8108	TCGA-HT-8111	TCGA-HT-8114	TCGA-HT-8563	TCGA-HT-A5R5	TCGA-HT-A5R7	TCGA-HT-A5RB	TCGA-HT-A614	TCGA-HT-A616	TCGA-HT-A618	TCGA-HT-A61B	TCGA-HT-A74J	TCGA-HT-A74O	TCGA-HW-7489	TCGA-HW-7490	TCGA-HW-8319	TCGA-HW-8320	TCGA-HW-8321	TCGA-HW-A5KL	TCGA-HW-A5KM	TCGA-IK-7675	TCGA-P5-A5EU	TCGA-P5-A5EV	TCGA-P5-A5EW	TCGA-P5-A5EZ	TCGA-P5-A5F1	TCGA-P5-A5F2	TCGA-P5-A5F4	TCGA-P5-A72U	TCGA-P5-A72W	TCGA-P5-A72X	TCGA-P5-A731	TCGA-P5-A733	TCGA-P5-A735	TCGA-P5-A736	TCGA-P5-A780	TCGA-QH-A65S	TCGA-QH-A6CW	TCGA-QH-A6X3	TCGA-QH-A6X9	TCGA-QH-A6XA	TCGA-QH-A870	TCGA-RY-A83Z	TCGA-RY-A843	TCGA-RY-A845	TCGA-S9-A6TS	TCGA-S9-A6TU	TCGA-S9-A6TV	TCGA-S9-A6TZ	TCGA-S9-A6U1	TCGA-S9-A6U6	TCGA-S9-A6U9	TCGA-S9-A6WG	TCGA-S9-A6WO	TCGA-S9-A7IS	TCGA-S9-A7IZ	TCGA-S9-A7J0	TCGA-S9-A7QW	TCGA-S9-A7QX	TCGA-S9-A7R3	TCGA-S9-A7R4	TCGA-S9-A7R7	TCGA-S9-A7R8	TCGA-S9-A89Z	TCGA-TM-A7C4	TCGA-TM-A7CA	TCGA-TM-A7CF	TCGA-TM-A84F	TCGA-TM-A84H	TCGA-TM-A84L	TCGA-TM-A84T	TCGA-TQ-A7RF	TCGA-TQ-A7RH	TCGA-TQ-A7RJ	TCGA-TQ-A7RK	TCGA-TQ-A7RM	TCGA-TQ-A7RR	TCGA-TQ-A7RV	TCGA-TQ-A7RW	TCGA-TQ-A8XE	TCGA-VM-A8C8	TCGA-VM-A8CF	TCGA-VM-A8CH	TCGA-VV-A86M	TCGA-WH-A86K	TCGA-WY-A858	TCGA-WY-A859	TCGA-WY-A85A	TCGA-WY-A85B	TCGA-WY-A85C	TCGA-WY-A85D
5-8:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	0	0	2	2	2	0	2	0	0	0	1	1	0	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	3	0	1	0	1	0	0	1	1	1	1	0	2	0	1	1	0	0	5	0	1	0	2	0	0	0	1	1	0	1	0	2	0	27	0	0	0	1	1	0	1	0	2	0	0	0	0	1	1	1	1	1	0	1	1	0	2	2	1	0	1	1	0	0	0	1	1	3	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	4	0	0	1	0	1	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	1	2	1	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	1	0	0	1	0	0	2	2	2	0	0	0	0
9+:LOH:100kb-1Mb	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	4	1	0	1	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	2	1	1	0	2	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
9+:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:het:0-100kb	0	0	4	0	0	2	1	0	3	0	1	11	2	4	0	2	1	4	1	0	1	5	0	0	8	0	1	5	0	7	2	7	0	0	2	0	13	0	9	9	1	4	1	0	10	11	7	7	4	8	0	1	0	4	3	0	0	0	0	8	0	0	0	0	2	0	3	3	1	8	10	5	3	9	5	2	0	1	0	0	2	0	2	0	0	4	0	0	1	3	1	0	2	0	1	3	6	1	9	0	0	0	7	0	0	1	0	0	8	9	4	0	4	5	2	1	8	0	1	0	0	0	5	2	0	1	0	0	3	7	2	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	4	1	6	7	3	0	5	7	1	5	0	0	2	3	1	3	0	1	0	2	0	3	3	0	0	4	5	0	7	0	2	1	2	0	0	0	0	0	2	0	7	0	0	1	0	0	3	7	4	12	0	5	4	1	2	0	7	0	0	5	0	0	10	1	0	7	0	2	7	1	2	4	0	0	15	1	0	23	4	22	23	1	3	1
2:het:100kb-1Mb	0	1	0	3	2	5	1	0	20	4	4	1	2	2	4	7	1	2	4	3	3	0	1	0	0	4	3	1	2	5	0	0	6	3	6	1	1	10	0	1	3	0	4	2	1	0	0	1	0	4	2	2	3	0	1	1	2	1	4	0	1	1	5	3	1	1	0	2	4	5	1	2	0	27	1	3	2	32	2	3	5	6	1	4	4	2	0	3	0	0	3	1	0	0	3	3	1	1	0	1	2	3	2	6	4	2	3	6	0	0	0	7	9	12	3	3	1	5	4	0	3	5	0	1	4	8	5	1	6	4	2	6	1	3	2	7	3	2	0	0	0	0	2	1	1	3	3	0	1	1	30	0	0	1	4	1	0	0	1	1	4	1	7	3	5	4	2	16	3	0	0	1	1	4	0	0	1	0	5	5	3	1	0	0	2	12	4	0	0	3	1	0	1	2	2	7	1	0	1	1	3	0	21	1	5	6	3	2	4	1	4	5	1	2	1	0	2	9	0	0	6	4	5	4	0	2	3	1	1	0	2	4	8	5
2:het:1Mb-10Mb	5	14	0	12	9	6	1	18	154	6	7	0	5	0	8	5	6	1	7	5	10	1	5	3	0	5	22	0	11	1	0	0	7	8	37	3	0	13	0	0	2	0	13	6	0	0	0	2	0	8	7	7	12	0	10	9	18	6	2	0	11	17	37	19	0	6	0	12	64	4	0	1	0	13	0	9	5	165	4	16	1	8	0	7	25	0	5	15	0	0	13	6	0	13	11	6	0	5	0	9	16	9	3	5	8	17	12	23	0	0	0	11	9	21	8	7	0	6	6	5	8	13	0	6	7	5	6	7	31	1	0	5	3	4	10	14	6	3	9	6	5	5	10	7	8	5	20	4	23	3	28	7	1	0	7	2	0	0	4	1	10	3	8	17	12	8	7	16	22	0	9	0	0	9	2	1	0	6	4	8	4	6	0	3	10	50	19	9	0	7	1	6	22	11	5	23	5	0	0	1	5	0	111	10	9	65	0	21	21	0	24	15	0	20	2	0	6	17	1	0	14	15	12	28	1	15	12	1	0	1	1	26	9	5
2:het:10Mb-40Mb	16	15	0	21	13	14	1	42	78	15	11	0	11	1	11	13	16	0	10	20	12	0	11	13	0	6	21	0	19	1	0	0	13	11	45	16	0	16	0	0	15	0	23	20	0	0	0	0	0	4	17	19	16	0	19	12	18	29	12	0	12	14	39	43	0	21	0	23	77	1	0	1	0	4	0	20	24	81	16	23	0	16	0	25	49	0	21	28	0	0	17	9	0	20	17	14	0	17	0	19	38	13	0	20	19	24	18	20	0	0	0	19	18	4	13	16	0	13	16	10	22	13	0	8	19	16	12	14	22	0	0	19	17	15	10	19	23	10	27	22	9	16	28	20	10	17	38	14	57	12	21	20	1	0	16	14	0	0	13	0	22	13	14	24	14	16	13	24	43	0	22	0	0	16	9	0	0	15	1	17	11	10	0	11	23	55	39	33	0	5	0	13	43	13	16	42	16	0	0	0	10	0	89	14	16	74	0	35	36	0	54	29	0	30	13	0	18	23	0	0	18	17	22	27	1	43	23	1	0	0	0	42	22	28
2:het:>40Mb	23	24	0	26	27	23	0	8	9	24	27	0	29	0	24	19	25	0	26	24	20	0	24	23	0	24	22	0	23	0	0	0	20	26	23	21	0	26	1	0	25	0	22	20	0	0	0	0	1	1	27	26	21	0	23	26	22	25	21	0	26	25	21	20	0	24	0	25	7	0	0	0	0	0	0	19	21	3	24	20	0	22	0	23	22	0	24	23	0	0	20	25	1	25	22	25	0	25	1	25	23	24	1	28	27	27	22	25	0	0	0	25	26	2	22	26	0	24	27	24	22	30	0	26	25	22	25	28	22	0	0	21	24	23	25	22	26	25	22	24	21	27	17	25	23	27	19	26	22	26	23	28	4	0	20	24	0	0	24	1	21	25	27	21	26	23	28	26	22	0	22	0	0	26	26	0	0	24	1	25	25	22	0	27	29	13	23	22	0	23	0	24	26	26	24	22	22	0	0	0	24	0	7	28	25	12	0	23	26	0	17	24	0	25	27	0	28	27	0	0	22	20	27	18	1	24	24	0	0	0	0	26	25	19
3-4:het:0-100kb	6	2	5	7	4	5	0	0	6	1	4	8	1	12	6	13	4	0	3	8	3	6	2	5	7	3	8	2	1	9	2	2	6	10	15	4	4	9	3	3	2	7	3	4	5	8	11	3	9	8	3	5	8	5	10	6	10	4	3	3	2	1	2	2	3	0	4	9	10	15	2	7	6	17	7	3	6	22	6	7	1	2	2	1	9	2	7	12	1	1	4	4	7	3	5	4	5	3	2	1	3	1	6	4	10	12	5	8	10	2	2	7	4	6	3	5	5	5	8	5	10	6	4	3	5	2	8	5	8	7	7	5	6	4	4	6	6	4	1	4	6	4	3	3	2	7	3	4	3	4	8	13	5	9	5	4	4	4	10	1	6	2	5	6	5	6	9	5	0	1	0	2	6	8	2	2	3	5	5	6	7	4	1	6	8	12	12	15	4	5	3	6	11	11	9	4	8	3	3	5	5	8	14	10	7	1	8	10	5	7	15	11	6	15	4	4	2	7	7	3	12	3	5	9	7	9	11	9	4	12	5	9	8	3
3-4:het:100kb-1Mb	1	6	14	4	8	5	5	5	23	3	3	23	4	23	1	26	4	5	7	5	4	5	1	3	139	3	3	14	3	14	6	4	3	5	8	3	10	13	18	4	2	6	8	3	4	2	85	5	15	18	3	4	1	10	1	3	9	7	1	1	4	4	3	6	4	2	1	6	14	20	20	9	14	69	10	4	2	27	1	9	10	5	2	4	24	9	4	4	2	2	7	3	25	2	2	2	6	0	9	3	16	4	10	7	2	7	2	9	203	11	7	6	1	85	6	5	2	4	7	2	4	4	9	1	1	2	2	1	24	11	1	5	3	1	1	15	1	1	3	1	1	4	4	1	0	1	2	3	4	0	6	3	5	28	5	1	14	8	1	6	4	4	7	9	9	6	2	14	1	4	1	7	12	0	2	4	6	3	16	2	2	2	7	2	4	13	1	1	6	0	13	1	19	10	3	6	1	13	12	12	2	11	4	4	5	14	10	14	7	37	8	6	9	4	8	18	3	7	7	8	7	1	5	3	10	3	2	26	5	24	11	3	5	4
3-4:het:1Mb-10Mb	1	8	16	5	8	2	19	14	5	2	2	34	2	62	0	6	2	12	4	4	6	18	0	5	146	3	4	19	7	34	6	10	0	4	1	0	17	2	28	6	4	15	10	2	26	10	96	12	32	54	1	12	3	20	3	9	6	0	0	13	5	1	1	7	31	8	15	4	4	38	35	23	9	85	15	7	0	5	0	9	21	7	8	6	4	12	0	2	7	14	6	5	27	6	9	1	25	2	8	12	7	2	23	8	3	6	1	12	173	15	8	9	0	97	2	0	8	7	0	0	5	6	14	0	3	3	3	1	11	29	2	0	5	2	0	7	6	1	2	3	3	2	4	6	9	1	7	0	10	5	3	1	19	31	6	0	34	12	6	21	4	2	11	4	7	2	0	10	1	6	1	20	14	1	0	18	12	1	38	7	2	0	8	1	2	7	1	0	13	3	18	2	4	2	0	8	2	27	15	36	2	20	2	0	2	8	12	10	3	45	1	4	26	3	1	18	0	4	22	10	12	3	6	9	29	0	0	27	31	46	31	7	2	1
3-4:het:10Mb-40Mb	2	1	26	0	2	1	21	13	3	0	1	39	0	26	0	2	2	15	1	1	4	19	0	1	81	0	2	9	0	37	15	18	1	2	2	0	21	0	44	15	3	21	3	0	25	32	58	17	26	38	0	1	3	25	5	4	3	2	2	17	2	1	1	1	54	2	21	3	2	28	21	26	23	34	15	2	1	0	0	5	35	2	18	2	4	23	2	1	14	17	1	2	23	2	1	1	31	0	23	6	1	0	46	2	3	4	0	3	80	22	27	0	3	43	4	2	28	2	0	0	0	3	21	0	1	0	3	0	2	41	3	0	2	2	1	4	2	0	1	1	3	1	1	1	4	2	2	1	2	0	1	1	27	26	0	1	35	22	1	16	2	0	3	3	0	2	0	3	1	18	2	31	25	1	0	17	14	0	43	2	2	2	16	1	1	1	0	1	19	0	25	1	0	2	0	1	3	25	25	40	3	40	0	0	0	3	43	2	1	15	2	9	45	3	3	23	0	2	26	24	3	4	3	4	36	3	0	53	33	58	41	1	0	1
3-4:het:>40Mb	1	1	22	0	0	1	21	0	0	1	0	20	0	9	0	1	2	23	0	2	4	27	0	0	9	1	0	27	1	20	28	25	4	0	1	0	23	1	19	31	3	25	1	0	22	22	13	25	22	15	2	2	1	22	0	3	1	0	1	27	0	0	2	1	13	1	25	2	1	20	25	21	24	12	24	0	0	0	0	1	20	0	20	1	1	23	0	1	26	26	1	2	26	0	0	1	19	0	25	1	0	3	14	0	0	1	0	0	7	22	20	1	1	9	0	2	23	0	0	1	0	2	24	0	1	0	0	2	2	17	2	0	2	1	0	1	0	0	0	0	2	0	2	1	1	2	1	2	0	0	1	2	24	22	3	3	21	22	2	24	0	0	0	0	0	1	0	1	3	22	0	23	20	1	0	23	32	1	24	1	0	0	26	1	1	1	0	2	28	0	22	0	0	0	0	0	1	21	19	17	5	24	0	0	0	0	15	1	1	28	0	1	25	0	0	20	0	0	20	24	0	1	0	1	22	0	0	18	26	12	25	0	1	0
5-8:het:0-100kb	2	3	6	1	7	1	2	1	1	1	1	10	1	8	0	1	2	7	1	0	6	10	1	2	9	0	1	8	4	6	4	4	2	2	4	1	10	1	5	9	0	5	3	3	9	5	11	5	5	12	2	0	2	12	0	0	0	1	0	5	0	2	1	1	1	0	15	0	5	7	8	5	4	22	1	2	1	0	1	0	5	6	8	8	4	6	3	5	5	2	3	1	10	6	0	2	9	4	0	5	1	6	6	4	0	3	0	0	4	10	4	1	0	11	0	0	5	2	0	3	3	0	8	0	3	0	0	0	0	11	3	0	0	8	2	0	1	0	5	4	1	4	7	3	2	4	6	1	3	6	1	0	4	8	1	0	13	5	1	11	0	1	1	1	1	3	0	2	0	3	4	4	10	0	0	7	9	0	14	1	0	1	9	1	3	1	5	3	7	0	8	0	0	0	3	3	0	4	10	8	2	11	1	1	4	0	10	3	3	12	7	5	11	2	1	8	6	0	9	7	0	1	1	5	10	1	5	19	11	17	18	2	1	1
5-8:het:100kb-1Mb	0	1	12	0	7	0	5	0	0	0	1	3	1	13	0	0	1	3	0	0	0	3	0	3	27	0	0	10	1	5	0	6	0	3	1	1	4	1	7	2	1	13	0	2	10	4	27	3	6	11	0	2	0	6	0	0	1	0	0	4	0	1	0	0	6	1	2	0	0	8	13	5	4	46	4	0	0	0	0	0	4	0	5	0	0	6	0	0	1	3	0	0	9	1	2	0	7	0	2	0	1	0	12	0	2	1	0	0	7	25	2	2	0	50	2	0	6	0	0	0	1	1	8	0	1	0	0	0	0	6	7	0	0	0	0	1	0	0	1	2	0	0	2	2	0	0	2	0	5	0	2	1	5	6	0	0	5	2	0	6	0	1	0	1	0	0	0	2	1	1	0	2	11	0	0	2	0	0	8	1	0	0	6	0	0	1	0	0	2	0	7	0	1	0	0	0	0	6	6	10	2	3	0	0	0	0	7	0	0	15	0	1	10	0	0	7	0	0	12	6	1	0	0	2	11	0	0	5	3	7	10	0	0	0
5-8:het:1Mb-10Mb	0	0	23	0	6	0	5	1	0	2	2	7	1	31	0	0	0	1	0	0	1	1	0	1	16	0	1	4	1	4	0	6	0	1	0	0	7	0	18	3	2	4	0	1	8	5	18	4	6	26	0	3	0	8	0	0	1	0	0	2	2	0	0	0	13	2	6	0	0	32	8	8	7	27	4	1	0	0	0	0	9	1	4	0	0	2	0	0	3	1	3	0	2	5	4	0	2	0	4	1	0	0	21	3	2	2	0	0	11	6	1	3	1	48	1	0	4	1	0	0	0	1	3	0	0	0	0	0	0	16	23	0	0	0	0	7	1	0	1	1	0	0	0	4	0	0	3	0	0	0	4	2	7	7	0	0	5	2	0	2	0	0	0	0	0	0	0	1	0	5	0	6	12	0	0	2	3	0	15	0	2	0	7	0	0	0	0	0	1	0	5	0	0	0	0	0	0	18	12	20	0	11	1	1	1	0	16	1	0	25	0	2	7	0	0	6	0	0	20	10	1	3	1	1	37	0	0	4	2	21	3	0	0	0
5-8:het:10Mb-40Mb	0	0	7	0	2	0	4	3	0	0	0	3	0	7	0	0	0	4	0	0	0	1	0	0	5	0	0	4	0	2	2	0	0	0	0	0	1	1	7	3	0	4	0	0	9	4	1	1	0	5	0	1	0	4	0	0	1	0	0	1	0	0	0	0	3	3	3	0	0	15	2	7	2	8	4	0	0	0	0	0	4	0	6	0	0	1	0	0	1	0	0	0	2	1	0	0	2	0	0	0	0	0	6	1	0	0	0	0	1	5	4	1	0	10	0	0	3	0	0	0	0	2	1	0	0	0	0	0	0	7	28	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	2	0	4	3	0	2	0	0	0	5	0	2	0	4	0	0	0	0	0	2	0	1	0	0	0	0	1	0	2	6	8	0	3	0	0	0	0	3	0	0	2	0	2	0	0	0	0	0	1	11	6	0	0	0	0	3	0	0	4	2	4	1	0	0	0
5-8:het:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	1	1	5	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	1	3	0	0	1	0	2	2	2	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	2	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0
9+:het:0-100kb	0	0	2	0	0	0	2	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	3	1	0	0	3	15	0	0	0	3	0	0	0	0	0	1	0	0	0	0	12	2	0	0	0	1	1	1	0	0	2	0	0	0	0	0	2	1	1	0	0	1	0	0	2	2	0	0	0	1	0	0	1	0	0	0	0	0	6	0	0	0	0	0	1	3	1	1	0	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	3	2	4	0	2	0	0	0	0	7	0	0	2	0	1	4	0	0	2	0	0	0	9	0	0	0	0	5	0	0	2	12	3	3	0	0	0
9+:het:100kb-1Mb	0	0	12	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	7	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	12	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
9+:het:1Mb-10Mb	0	0	7	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
9+:het:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
9+:het:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
